# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,42.0,0.0,18.5,0.5,12.0,0.0
250,42.0,0.0,18.0,0.0,11.33,0.94
500,42.75,0.43,16.75,1.79,18.25,0.43
750,42.5,0.5,16.75,0.83,19.0,1.22
1000,43.0,0.82,16.25,0.83,18.0,0.0
1250,43.67,0.47,12.75,0.83,19.0,0.82
1500,43.5,0.5,12.0,0.0,19.75,0.43
1750,43.5,0.5,13.75,0.83,18.5,0.5
2000,43.33,0.47,15.33,0.47,20.5,0.5
2250,43.5,0.5,18.0,1.87,20.5,0.87
2500,43.5,0.5,18.5,0.5,19.5,1.66
2750,43.75,0.83,19.67,0.47,16.0,0.82
3000,44.25,0.43,21.0,0.0,17.2,0.75
3250,44.0,0.71,21.0,0.0,16.5,0.87
3500,43.75,0.83,19.25,1.3,17.25,2.28
3750,43.75,0.43,20.0,1.41,19.33,0.94
4000,43.33,0.94,18.0,1.41,21.33,0.47
4250,42.5,0.87,13.75,1.3,19.5,1.66
4500,42.33,0.47,17.0,1.41,16.25,1.3
4750,41.75,0.43,17.25,0.83,14.0,1.0
5000,41.5,0.5,15.5,1.12,17.0,1.22
5250,42.0,0.0,16.5,0.5,19.25,0.83
5500,42.67,0.47,17.0,1.22,22.0,1.63
5750,42.0,0.0,15.0,0.0,23.5,0.5
6000,41.5,0.5,14.67,0.47,24.0,0.0
6250,40.75,0.83,15.0,1.22,23.75,0.43
6500,41.5,0.5,17.25,0.83,24.75,1.3
6750,42.0,0.0,16.0,0.0,27.33,0.47
7000,42.0,0.0,15.33,2.49,28.5,0.87
7250,42.0,0.0,8.0,3.27,26.75,1.79
7500,42.75,0.83,11.25,3.34,23.0,1.22
7750,42.67,0.47,10.67,1.25,21.0,0.0
8000,42.2,0.4,12.2,0.4,21.17,0.37
8250,42.75,0.43,14.5,0.5,21.0,0.0
8500,43.5,0.5,15.0,0.0,21.0,0.0
8750,43.67,0.47,15.0,0.0,21.33,0.47
9000,44.5,0.5,15.0,0.0,21.0,0.0
9250,44.5,0.5,14.75,0.43,21.25,0.43
9500,44.5,0.5,15.0,0.0,21.25,0.43
9750,44.25,0.83,14.5,0.5,21.0,0.0
10000,44.5,0.5,15.0,0.0,21.0,0.0
10250,44.5,0.5,15.0,0.0,21.0,0.0
10500,44.5,0.5,15.0,0.0,21.0,0.0
10750,44.5,0.5,14.75,0.43,21.0,0.0
11000,43.5,1.12,11.5,0.5,21.75,0.43
11250,42.25,0.43,15.25,4.44,23.25,1.92
11500,42.0,0.0,14.75,3.42,26.67,2.05
11750,44.0,0.82,13.67,1.25,30.25,0.43
12000,42.75,0.83,19.75,1.09,30.5,0.87
12250,42.0,0.0,20.25,0.83,30.75,0.83
12500,42.0,0.0,21.5,0.5,30.67,0.47
12750,42.25,0.43,24.0,0.0,30.0,0.0
13000,42.5,0.5,24.75,0.43,30.0,0.0
13250,42.5,0.5,26.33,0.47,30.0,0.0
13500,42.5,0.5,25.25,0.43,29.5,0.5
13750,42.67,0.47,24.5,0.5,29.0,0.0
14000,42.33,0.47,24.33,0.47,29.75,0.43
14250,42.8,0.4,24.8,0.4,29.5,0.5
14500,42.5,0.5,24.67,0.47,30.0,0.0
14750,42.5,0.5,25.0,0.0,29.25,0.43
15000,42.75,0.83,23.5,1.5,29.75,0.43
15250,42.75,0.43,13.25,2.86,30.5,0.5
15500,43.0,0.71,9.5,5.12,30.25,0.43
15750,42.75,0.83,12.5,5.17,30.0,0.0
16000,42.5,0.5,19.0,1.22,30.0,0.0
16250,42.67,0.47,13.0,2.55,30.33,0.47
16500,42.0,0.0,5.5,2.5,30.0,0.0
16750,41.75,0.43,4.0,0.0,30.0,0.0
17000,42.0,0.0,7.0,1.41,29.5,0.5
17250,42.0,0.0,8.25,1.09,30.0,0.0
17500,42.0,0.0,12.0,0.0,30.0,0.0
17750,42.0,0.0,14.67,2.05,30.0,0.0
18000,42.0,0.0,17.0,0.71,30.0,0.0
18250,42.0,0.0,15.5,0.5,30.0,0.0
18500,42.0,0.0,16.5,0.87,30.0,0.0
18750,42.0,0.0,12.5,2.29,30.0,0.0
19000,42.0,0.0,13.0,1.41,30.0,0.0
19250,42.0,0.0,14.25,1.48,30.0,0.0
19500,42.0,0.0,15.75,1.92,30.0,0.0
19750,42.0,0.0,18.0,0.0,30.0,0.0
20000,42.0,0.0,17.25,0.83,30.0,0.0
20250,42.0,0.0,17.25,1.79,29.75,0.43
20500,42.0,0.0,17.5,0.5,30.0,0.0
20750,42.0,0.0,18.0,0.0,30.0,0.0
21000,42.0,0.0,15.5,1.12,30.0,0.0
21250,42.67,0.47,13.67,2.49,30.25,0.43
21500,44.5,0.5,17.0,1.22,28.0,1.22
21750,45.0,0.0,13.0,1.0,26.5,0.87
22000,45.0,0.0,13.0,1.58,25.25,1.3
22250,43.75,1.09,12.5,0.87,22.25,1.3
22500,42.75,0.83,15.0,0.0,18.75,0.83
22750,42.0,0.0,12.5,1.5,17.5,0.5
23000,41.5,0.5,11.25,0.83,14.5,0.87
23250,42.0,0.0,14.25,0.83,15.5,1.8
23500,42.0,0.0,15.0,0.0,18.33,0.47
23750,42.0,0.0,14.5,0.5,20.75,0.43
24000,42.0,0.0,18.5,1.12,16.0,1.41
24250,42.0,0.0,17.25,0.83,15.75,0.83
24500,42.0,0.0,15.75,0.43,13.0,0.71
24750,42.0,0.0,14.0,0.82,14.25,1.3
25000,42.0,0.0,13.0,0.71,18.25,2.17
25250,42.25,0.43,12.0,0.0,21.25,0.43
25500,42.25,0.43,12.5,0.5,22.0,0.71
25750,42.25,0.43,13.0,0.0,21.5,0.5
