# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
60000,30.0,0.0,5.5,1.5,8.67,1.7
60250,30.0,0.0,4.75,2.28,4.25,1.48
60500,29.75,0.43,2.0,1.0,9.0,1.22
60750,30.0,0.0,2.0,0.82,10.67,0.94
61000,30.0,0.0,8.67,0.47,9.33,3.77
61250,30.0,0.0,9.0,0.0,7.25,1.3
61500,29.5,0.5,8.5,0.87,4.5,2.06
61750,30.0,0.0,3.25,1.64,8.75,1.09
62000,30.0,0.0,5.5,1.5,8.25,0.83
62250,30.0,0.0,4.33,2.49,6.5,2.18
62500,29.75,0.43,3.5,1.8,9.5,4.92
62750,29.25,0.43,7.67,1.25,12.0,0.0
63000,30.0,0.0,11.25,1.3,12.67,0.94
63250,30.0,0.0,11.25,0.83,13.5,0.5
63500,29.25,0.43,9.5,3.5,10.0,2.74
63750,29.75,0.43,10.25,3.7,10.75,2.17
64000,29.33,0.47,14.67,0.47,10.0,1.58
64250,29.25,0.43,14.0,0.71,12.5,0.5
64500,29.0,0.0,13.5,1.5,12.25,1.09
64750,29.33,0.47,15.75,0.43,13.5,1.5
65000,30.0,0.0,15.67,0.47,14.0,0.0
65250,29.33,0.47,15.2,0.4,14.25,0.83
65500,29.0,0.71,14.25,0.83,15.5,0.87
65750,28.25,0.43,11.5,0.5,15.75,0.83
66000,28.0,0.71,11.5,0.87,13.75,1.3
66250,29.75,0.43,15.33,0.47,13.33,1.25
66500,30.0,0.0,17.25,0.83,12.0,1.41
66750,30.0,0.0,13.0,0.71,5.0,4.0
67000,29.67,0.47,11.67,0.47,9.0,0.0
67250,29.0,0.0,9.5,1.12,12.5,2.29
67500,28.5,0.5,15.0,1.41,8.75,2.68
67750,29.5,0.5,13.75,1.79,7.75,2.95
68000,30.0,0.0,16.0,0.71,7.33,3.86
68250,31.75,1.09,17.75,0.43,13.0,2.16
68500,32.0,0.71,14.0,0.82,15.67,0.94
68750,31.5,1.12,14.25,1.48,15.0,0.0
69000,31.67,0.47,17.0,1.0,6.67,1.7
69250,31.5,0.5,16.0,0.71,4.75,3.03
69500,30.75,0.43,15.25,0.43,10.25,1.3
69750,30.0,0.0,15.0,0.0,10.5,0.87
70000,29.75,0.43,13.25,1.3,9.5,1.5
70250,30.0,0.0,13.5,0.5,11.5,2.29
70500,29.5,0.5,12.25,0.43,14.25,0.83
70750,28.5,1.12,12.75,0.83,11.75,0.43
71000,28.25,0.43,12.25,0.43,12.75,0.83
71250,28.0,0.71,13.75,1.09,12.75,1.3
71500,28.75,0.43,13.5,0.87,13.0,1.0
71750,28.0,0.0,15.0,0.0,13.33,1.25
72000,28.25,0.43,14.5,0.5,13.5,1.5
72250,28.0,0.0,13.5,1.12,14.0,1.41
72500,28.5,0.5,14.5,0.5,14.25,1.3
72750,28.5,0.5,13.0,0.71,15.5,0.87
73000,28.33,0.47,14.67,0.47,15.5,0.5
73250,29.25,0.43,13.5,0.87,15.25,0.43
73500,28.5,0.87,14.5,0.5,15.75,0.83
73750,28.0,0.0,14.0,0.82,15.0,0.71
74000,28.25,0.43,14.25,0.83,14.75,0.43
74250,28.0,0.71,14.75,0.43,14.5,0.5
74500,27.75,0.43,15.0,0.0,13.67,1.25
74750,28.0,0.0,13.5,1.5,13.5,1.5
75000,28.17,0.37,14.8,1.17,13.0,1.1
75250,28.0,0.0,14.75,0.43,14.67,0.47
75500,28.0,0.0,15.25,0.43,14.25,0.83
75750,27.67,0.47,14.67,0.47,14.0,1.0
76000,28.0,0.0,15.0,0.0,14.0,1.0
76250,27.5,0.5,15.0,0.0,14.0,1.22
76500,27.75,0.43,15.0,0.71,14.75,0.43
76750,28.0,0.0,14.75,0.43,14.75,0.43
