# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,34.5,4.39,19.5,3.2,18.0,3.54
250,36.0,3.08,15.0,5.2,12.0,3.56
500,42.75,0.83,10.0,4.55,9.25,2.38
750,40.0,2.83,17.67,1.89,14.25,1.92
1000,34.25,3.03,14.25,5.36,20.0,1.22
1250,30.5,3.5,20.0,1.22,18.0,2.12
1500,38.0,1.41,17.25,7.46,17.25,4.97
1750,37.75,1.09,18.75,3.11,8.75,4.49
2000,41.0,1.22,10.25,4.21,7.25,5.58
2250,41.0,3.0,10.75,5.31,17.67,4.64
2500,33.33,2.05,17.0,2.83,20.5,3.5
2750,29.0,6.6,16.25,3.03,16.0,6.29
3000,35.0,5.1,19.0,2.16,18.67,1.25
3250,36.75,1.3,12.0,3.08,14.5,4.15
3500,40.75,1.3,11.0,1.41,9.5,2.5
3750,39.25,2.17,14.0,1.58,19.33,3.68
4000,28.25,4.26,20.0,1.22,19.75,1.64
4250,35.75,5.36,13.0,5.87,17.5,3.5
4500,34.33,3.09,17.0,1.41,18.5,4.5
4750,40.25,2.38,10.0,3.61,7.67,4.71
5000,41.0,4.74,17.0,1.0,14.25,2.28
5250,33.5,2.6,15.25,1.48,13.75,8.5
5500,25.75,2.95,14.25,2.59,19.0,3.24
5750,33.5,7.83,16.0,5.1,19.75,1.09
6000,34.5,3.2,18.75,1.92,16.25,6.72
6250,38.75,3.49,12.67,4.11,13.0,3.74
6500,41.75,1.79,15.67,3.3,10.67,5.44
6750,36.5,2.69,17.33,2.05,14.5,2.87
7000,29.67,1.25,21.0,0.0,23.67,2.05
7250,34.25,8.38,14.75,3.7,16.5,2.6
7500,32.0,2.83,15.67,5.44,20.0,3.0
7750,38.5,1.8,12.5,1.5,10.67,1.89
8000,39.5,4.92,11.0,4.97,17.0,4.42
8250,31.5,3.35,21.0,2.12,19.0,4.06
8500,29.25,7.46,18.33,5.25,16.67,4.5
8750,34.5,4.97,16.75,2.49,22.25,1.3
9000,39.0,2.45,14.67,8.26,17.0,3.0
9250,43.75,1.3,13.5,1.5,16.0,2.83
9500,36.0,4.3,16.0,5.1,13.0,2.92
9750,25.5,2.6,19.0,1.0,22.5,1.5
10000,34.75,7.46,18.25,4.26,15.0,3.08
10250,35.0,2.94,16.25,3.83,18.67,0.94
10500,36.5,2.29,13.67,8.73,17.75,1.3
10750,42.25,0.43,11.5,3.04,13.5,1.5
11000,38.0,1.41,14.33,3.86,21.25,3.27
11250,30.4,4.03,15.0,2.0,21.5,4.72
11500,37.25,2.49,14.0,5.52,15.25,3.19
11750,36.5,0.87,19.75,2.77,13.25,1.3
12000,38.33,0.94,11.0,6.98,14.75,4.09
12250,42.5,1.66,12.5,4.56,14.25,1.48
12500,35.25,5.12,18.0,2.55,11.75,5.93
12750,27.5,3.35,19.5,1.12,22.0,1.41
13000,35.25,8.17,18.0,5.52,11.0,4.97
13250,33.75,2.49,17.5,5.5,16.75,2.49
13500,42.0,2.12,16.75,3.7,15.0,4.64
13750,41.0,4.74,11.25,5.12,11.5,2.5
14000,34.0,1.41,19.67,1.25,15.0,3.0
14250,32.25,5.76,17.5,4.97,16.75,6.5
14500,36.5,2.29,17.0,4.18,16.0,2.83
14750,36.25,3.9,18.5,3.5,16.25,1.79
15000,43.33,0.94,11.5,2.87,13.0,3.74
15250,39.25,4.49,13.25,5.36,15.0,2.55
15500,29.75,3.27,20.25,0.83,22.0,2.0
15750,34.25,7.56,18.5,3.35,17.75,3.83
16000,32.33,2.62,17.67,2.05,19.75,1.92
16250,34.25,3.49,16.25,5.07,14.75,2.38
16500,41.0,1.0,11.67,2.87,11.25,2.49
16750,40.0,4.64,15.0,0.71,14.75,2.86
17000,31.25,3.63,19.5,1.5,21.5,3.84
17250,35.75,6.3,20.67,2.05,9.0,7.48
17500,32.25,6.18,17.75,3.9,12.25,5.07
17750,36.75,5.67,17.75,4.02,13.33,3.09
18000,42.33,0.47,12.5,2.18,12.0,0.0
18250,37.75,3.27,14.0,2.12,20.75,2.77
18500,22.0,6.38,22.75,1.3,23.0,1.41
18750,34.5,8.38,19.0,3.0,18.25,2.38
19000,33.33,2.05,15.67,1.7,18.0,2.24
19250,37.25,1.3,14.0,2.74,12.5,1.5
19500,40.0,0.0,12.0,0.0,0.0,0.0
19750,40.0,0.0,12.0,0.0,0.0,0.0
20000,32.53,10.47,17.83,4.12,17.06,5.98
20250,32.53,10.47,17.83,4.12,17.06,5.98
20500,36.25,0.43,20.5,3.04,18.5,4.72
20750,41.0,2.24,16.33,1.25,16.67,1.25
21000,40.75,4.49,10.0,5.89,12.75,3.96
21250,34.0,1.41,22.0,1.58,17.33,3.77
21500,21.0,2.12,22.0,1.22,21.0,5.79
21750,37.67,5.44,18.0,4.9,19.25,4.02
22000,36.5,0.87,21.5,1.12,20.75,2.68
22250,41.33,1.89,12.33,0.47,17.0,4.18
22500,40.0,5.83,15.0,2.24,10.0,4.08
22750,33.0,2.12,22.75,1.3,18.5,4.39
23000,26.5,2.29,20.0,4.12,18.5,4.82
23250,36.25,4.32,17.0,7.71,21.33,0.47
23500,36.25,0.43,16.5,3.77,19.25,1.09
23750,40.0,1.41,8.67,2.36,16.0,2.92
24000,39.75,5.67,11.5,3.5,15.5,5.5
24250,28.5,6.06,22.33,1.25,17.67,4.5
24500,31.67,7.76,21.0,4.64,18.5,4.82
24750,36.67,3.3,16.75,4.09,15.0,4.32
25000,32.0,5.1,19.0,2.83,15.5,0.87
25250,42.0,0.0,14.33,1.7,13.5,1.5
25500,40.75,2.77,13.5,4.5,19.0,2.74
25750,30.75,6.42,22.5,1.66,24.75,1.3
26000,33.0,6.04,20.5,4.27,17.25,3.56
26250,36.0,2.12,20.75,0.83,16.5,1.5
26500,33.5,2.87,16.75,4.87,16.0,1.58
26750,41.5,1.5,15.5,1.8,12.0,2.12
27000,40.75,2.77,15.0,4.24,19.0,3.08
27250,31.0,5.34,18.0,0.0,23.0,0.0
27500,38.0,5.72,22.67,1.89,14.0,3.67
27750,35.67,2.05,19.25,1.79,14.67,0.47
28000,30.67,5.19,19.0,2.83,17.0,1.22
28250,42.25,2.05,14.75,0.83,17.0,2.92
28500,38.25,4.49,11.25,4.76,16.0,3.16
28750,30.0,6.36,17.5,2.29,17.33,4.99
29000,34.5,7.5,19.33,3.09,19.75,2.68
29250,38.0,1.58,20.67,0.47,20.25,2.28
29500,37.5,2.06,18.25,2.17,19.25,1.09
29750,43.25,1.3,15.0,2.12,15.5,5.12
30000,34.67,1.89,16.0,1.41,13.0,4.06
30250,26.25,4.32,19.25,2.17,20.75,3.27
30500,33.0,9.25,18.0,4.24,12.33,4.03
30750,33.5,3.04,18.0,1.87,13.75,3.03
31000,35.0,5.35,15.33,3.09,17.25,1.3
