# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
60000,36.0,6.0,11.0,1.0,14.5,3.5
60250,32.8,1.94,19.8,1.83,16.5,2.87
60500,34.0,6.52,18.25,1.79,18.75,0.83
60750,36.5,2.29,13.25,4.02,13.75,2.28
61000,40.75,1.09,16.33,1.7,18.67,3.3
61250,39.25,5.36,15.0,6.0,11.67,6.94
61500,35.75,1.79,21.5,3.77,17.0,3.24
61750,34.25,1.79,21.33,1.25,10.0,1.41
62000,31.0,6.2,16.75,1.92,12.25,3.7
62250,36.0,4.24,14.5,1.66,17.0,1.41
62500,41.67,0.47,14.33,1.7,21.25,2.17
62750,43.0,1.58,14.75,2.68,19.25,2.59
63000,37.0,0.82,13.33,4.64,16.75,3.03
63250,35.5,2.87,20.25,0.83,14.5,2.6
63500,33.75,3.9,16.5,2.06,13.0,4.12
63750,29.75,6.61,20.33,0.47,19.0,1.58
64000,40.75,1.09,13.75,2.17,18.75,0.83
64250,42.25,0.43,14.5,3.84,14.0,2.92
64500,34.75,4.87,13.33,5.25,13.0,4.53
64750,33.0,2.12,18.25,0.43,19.0,2.12
65000,33.5,6.87,16.75,3.03,17.0,3.08
65250,34.5,1.5,10.67,3.68,17.67,2.49
65500,41.0,1.41,15.5,2.18,17.0,2.16
65750,42.25,0.43,13.0,5.1,17.5,1.8
66000,37.0,2.45,20.0,1.41,18.25,4.26
66250,35.33,0.94,21.33,0.47,14.33,4.78
66500,36.0,2.12,18.5,1.8,13.5,2.69
66750,32.25,4.44,13.75,3.03,17.25,1.92
67000,40.75,1.3,14.25,3.27,16.75,2.49
67250,42.75,1.48,14.0,3.94,16.5,4.39
67500,35.0,4.58,17.0,5.48,15.0,5.24
67750,33.25,1.79,19.75,1.3,14.25,2.59
68000,34.0,3.81,16.25,3.77,16.0,2.92
68250,37.25,3.63,15.33,3.09,15.0,0.0
68500,41.75,0.43,14.33,3.86,14.0,3.56
68750,40.0,1.63,15.33,2.87,15.67,4.5
69000,36.75,1.3,20.5,1.5,20.33,3.77
69250,35.0,2.83,15.67,1.7,13.5,1.5
69500,32.25,8.17,11.75,4.66,17.75,0.43
69750,40.0,1.73,15.25,3.77,19.75,1.48
70000,44.25,0.83,13.5,2.96,13.5,7.53
