# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
60000,54.0,0.0,12.0,0.0,19.25,0.43
60250,48.0,8.49,12.33,0.47,18.75,0.43
60500,54.0,0.0,13.25,1.09,18.5,0.87
60750,54.0,0.0,13.25,1.09,19.75,0.83
61000,54.0,0.0,12.75,0.83,20.5,0.5
61250,54.0,0.0,14.5,0.5,20.25,0.43
61500,54.0,0.0,14.5,0.5,19.5,0.87
61750,54.0,0.0,13.5,0.5,19.25,0.83
62000,54.0,0.0,14.75,0.43,20.0,0.71
62250,54.0,0.0,15.0,0.0,20.5,0.5
62500,54.0,0.0,14.75,0.43,20.25,0.43
62750,54.0,0.0,14.33,0.47,20.33,0.47
63000,54.0,0.0,14.0,0.0,20.5,0.5
63250,54.0,0.0,14.0,1.0,20.5,0.5
63500,54.0,0.0,14.75,0.43,20.67,0.47
63750,54.0,0.0,14.5,0.5,20.67,0.47
64000,54.0,0.0,14.25,0.83,20.75,0.43
64250,54.0,0.0,13.33,0.47,20.75,0.43
64500,54.0,0.0,12.75,0.43,20.5,0.5
64750,54.0,0.0,13.5,0.5,20.5,0.5
65000,54.0,0.0,13.5,0.87,20.5,0.5
65250,54.0,0.0,14.0,0.71,20.5,0.5
65500,54.0,0.0,13.5,0.5,20.5,0.5
65750,54.0,0.0,14.0,1.0,21.0,0.0
66000,54.0,0.0,14.67,0.47,20.67,0.47
66250,54.0,0.0,14.0,1.0,20.75,0.43
66500,54.0,0.0,12.75,0.43,20.67,0.47
66750,54.0,0.0,13.25,0.43,20.75,0.43
67000,54.0,0.0,13.5,0.5,20.5,0.5
67250,54.0,0.0,14.33,0.94,20.5,0.5
67500,54.0,0.0,14.25,0.83,20.5,0.5
67750,54.0,0.0,14.25,0.43,20.5,0.5
68000,54.0,0.0,14.5,0.5,21.0,0.0
68250,54.0,0.0,13.5,0.5,20.75,0.43
68500,54.0,0.0,13.0,0.0,20.67,0.47
68750,54.0,0.0,14.25,0.83,20.5,0.5
69000,54.0,0.0,14.0,0.82,20.33,0.47
69250,54.0,0.0,13.0,0.0,20.5,0.5
69500,54.0,0.0,13.5,0.5,20.75,0.43
69750,54.0,0.0,14.5,0.5,21.0,0.0
70000,54.0,0.0,14.5,0.5,20.67,0.47
70250,54.0,0.0,14.5,0.5,20.5,0.5
