# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
60000,36.5,0.87,13.5,1.5,12.5,2.96
60250,31.75,2.49,16.5,3.35,16.75,2.28
60500,29.75,0.43,21.0,0.0,10.5,2.69
60750,27.75,0.83,18.25,0.43,9.25,1.48
61000,27.0,0.0,19.33,0.94,6.0,0.0
61250,27.0,0.0,21.0,0.0,9.5,0.5
61500,27.0,0.0,20.75,0.43,13.75,0.83
61750,27.33,0.47,19.25,1.3,13.0,0.0
62000,27.0,0.0,21.0,0.0,14.75,1.09
62250,27.25,0.43,21.25,0.43,17.0,0.0
62500,27.67,0.47,21.0,0.0,17.67,0.47
62750,28.0,0.0,20.5,0.5,15.0,0.71
63000,27.5,0.5,21.5,0.5,13.5,1.12
63250,28.0,0.0,21.5,0.87,14.5,0.87
63500,27.25,0.43,21.33,0.47,14.33,0.47
63750,27.67,0.47,21.0,0.0,11.5,0.87
64000,28.0,0.0,21.0,0.0,14.0,1.41
64250,29.0,0.71,20.75,0.43,17.0,1.22
64500,30.0,0.0,22.5,1.12,16.5,1.12
64750,30.0,0.0,18.5,1.12,9.0,3.54
65000,33.25,1.79,17.0,0.71,10.5,1.5
65250,36.75,0.83,13.5,1.5,14.25,1.3
65500,38.5,0.5,14.25,3.11,10.33,2.49
65750,38.5,0.5,16.33,1.25,9.5,1.5
66000,38.67,0.47,12.5,0.87,16.33,1.25
66250,38.25,0.83,11.5,0.87,19.25,0.83
66500,38.0,1.0,10.75,0.43,19.0,1.22
66750,37.67,0.94,12.0,0.0,19.5,1.12
67000,38.0,1.0,12.0,0.0,18.5,0.5
67250,38.0,1.0,11.25,0.43,18.25,0.43
67500,38.0,1.0,9.0,0.0,17.25,0.83
67750,38.33,0.94,9.67,0.47,15.0,0.0
68000,37.8,0.98,8.0,0.71,14.6,0.8
68250,38.0,1.0,8.25,1.3,17.5,0.87
68500,37.75,1.3,6.75,1.3,18.75,1.3
68750,38.0,1.0,11.0,1.22,19.75,0.83
69000,37.75,1.3,12.33,0.47,19.67,0.47
69250,37.5,1.5,12.2,0.4,21.0,0.0
69500,37.75,1.3,11.5,0.5,21.25,0.43
69750,37.75,1.3,13.75,1.3,21.0,0.0
70000,37.75,1.3,14.33,0.47,20.67,0.47
70250,37.5,1.5,15.0,0.0,21.25,0.43
70500,37.5,1.5,13.75,0.83,21.0,0.0
70750,37.5,1.5,14.25,0.43,20.5,0.87
71000,37.67,1.25,14.25,0.43,20.33,0.47
71250,38.0,0.82,13.5,0.5,20.33,0.94
71500,37.5,1.5,12.5,0.5,20.5,0.5
71750,37.67,1.25,13.75,1.3,19.25,0.83
72000,37.67,0.94,14.67,0.47,20.25,0.83
72250,38.5,0.87,15.0,0.0,20.75,0.43
72500,37.0,0.82,13.33,1.25,20.75,0.43
72750,37.75,1.3,12.25,0.43,19.5,1.12
73000,37.25,1.3,12.0,0.0,18.75,0.83
73250,37.5,1.12,12.0,0.0,19.25,0.83
73500,37.25,1.3,12.25,0.43,19.75,0.43
73750,37.5,1.5,12.33,0.47,19.0,0.0
74000,38.33,0.94,12.25,0.43,20.0,0.82
74250,37.75,1.3,12.0,0.0,20.25,0.83
74500,37.33,1.25,12.0,0.0,20.75,0.43
74750,37.5,1.12,12.0,0.0,20.5,0.5
75000,37.25,1.3,11.25,0.83,19.5,1.5
75250,37.25,1.3,10.75,0.43,19.75,0.83
75500,37.5,1.5,11.25,0.83,19.25,0.83
75750,37.5,1.5,10.75,0.83,20.0,1.0
76000,38.0,1.0,11.25,0.43,20.5,0.5
76250,37.75,1.3,13.0,0.71,20.25,0.83
76500,37.5,1.12,12.25,0.43,20.75,0.43
76750,37.25,1.3,12.0,0.0,21.0,0.0
77000,38.0,1.0,12.0,0.0,20.75,0.43
77250,37.75,1.3,11.75,0.43,21.0,0.0
77500,37.75,0.83,9.75,0.83,21.0,0.0
77750,37.5,1.12,9.33,0.47,20.33,0.47
78000,38.0,0.82,9.5,0.5,20.33,0.47
78250,37.75,1.3,11.75,0.43,19.5,1.12
78500,36.67,0.94,9.67,2.05,20.0,1.0
78750,37.0,1.0,7.5,0.5,21.0,0.0
79000,37.25,1.3,7.0,2.0,20.75,0.43
79250,37.5,1.12,6.25,0.43,21.0,0.0
79500,37.25,1.3,7.0,1.58,21.0,0.0
79750,37.25,1.3,8.5,0.87,21.0,0.0
80000,37.5,1.12,7.5,1.5,21.0,0.0
80250,37.5,1.12,9.0,0.0,21.0,0.0
80500,37.25,1.3,8.25,1.3,21.0,0.0
80750,37.33,0.94,7.75,1.92,20.67,0.47
81000,37.0,1.0,5.25,0.83,20.75,0.43
81250,36.67,0.94,7.0,0.82,20.75,0.43
81500,37.25,0.83,7.0,1.0,21.0,0.0
81750,37.5,1.12,7.5,1.12,21.0,0.0
82000,37.75,1.3,8.0,0.82,21.0,0.0
82250,37.5,1.12,8.25,1.3,21.0,0.0
82500,37.0,1.0,7.5,0.87,21.0,0.0
82750,37.25,1.3,8.5,1.12,21.0,0.0
83000,37.75,1.3,8.0,0.71,21.0,0.0
83250,37.25,1.3,6.0,0.0,21.0,0.0
83500,37.0,1.0,5.2,1.33,20.2,0.75
83750,37.0,1.0,5.67,3.3,19.33,0.47
84000,37.0,1.0,9.25,0.43,19.25,1.09
84250,37.5,1.12,8.67,1.25,20.33,0.47
84500,37.0,1.0,9.5,2.06,20.75,0.43
84750,37.33,0.94,12.0,0.0,21.0,0.0
85000,37.75,1.3,9.25,2.86,21.0,0.0
85250,37.0,0.82,4.33,1.7,21.25,0.43
85500,37.25,0.83,8.75,1.09,21.33,0.47
85750,37.0,1.0,9.5,0.87,21.5,0.5
86000,37.25,1.3,11.0,1.22,21.5,0.5
86250,37.6,1.36,11.4,0.8,21.5,0.5
86500,37.0,1.41,11.67,0.47,22.0,1.0
86750,37.25,1.3,11.25,0.83,21.75,0.83
87000,37.75,1.3,10.33,0.94,22.0,1.0
87250,37.25,1.3,10.0,0.71,21.75,0.83
87500,37.75,1.3,9.33,0.94,21.25,0.43
87750,38.33,0.94,10.33,0.47,21.0,0.0
88000,37.5,1.5,10.25,0.83,21.0,0.0
88250,37.75,1.3,10.0,0.82,21.33,0.47
88500,38.0,1.0,10.0,0.71,22.0,0.71
88750,37.67,1.25,12.0,1.22,21.33,0.47
89000,37.33,1.25,14.33,0.47,21.0,0.0
89250,37.75,1.3,13.25,0.43,21.5,0.5
89500,37.5,1.12,14.5,0.5,21.0,0.0
89750,38.0,1.0,14.5,0.5,21.0,0.0
90000,37.5,1.12,14.0,0.0,21.0,0.0
90250,37.5,0.5,12.5,0.5,21.0,0.0
90500,37.5,1.12,12.0,0.0,20.75,0.43
90750,37.25,1.3,13.0,0.0,20.75,0.43
91000,37.0,1.0,15.5,0.5,21.0,0.0
91250,37.0,1.0,14.75,0.43,21.0,0.0
91500,37.25,0.83,14.25,0.83,21.0,0.0
91750,37.5,1.12,15.0,0.0,21.0,0.0
92000,37.67,1.25,13.25,1.3,19.5,1.5
92250,37.33,0.94,12.75,0.83,19.0,0.82
92500,37.75,1.3,14.75,0.43,18.25,0.43
92750,37.5,1.12,14.0,1.22,20.0,1.22
93000,36.67,0.94,6.0,2.16,21.5,0.87
93250,37.0,1.0,7.25,2.86,21.75,0.43
93500,37.0,1.0,12.0,0.0,21.0,0.0
93750,37.25,1.3,9.33,0.94,21.75,0.83
94000,37.0,1.0,3.0,1.0,22.75,0.83
94250,37.0,1.0,4.75,2.38,23.25,0.83
94500,37.0,1.0,9.0,3.61,21.75,0.83
94750,36.5,0.5,5.25,1.48,23.0,0.82
95000,36.75,0.83,8.75,0.83,23.25,0.83
95250,37.0,1.0,12.0,0.0,22.33,0.94
95500,36.5,0.5,10.0,1.87,21.25,0.43
95750,36.67,0.47,9.25,3.27,21.0,0.0
96000,36.67,0.94,11.67,1.25,21.25,0.43
96250,37.0,1.0,12.0,0.0,22.5,1.12
96500,37.0,1.0,12.0,0.0,23.5,0.5
96750,37.0,1.0,13.25,0.43,23.5,0.5
97000,37.0,1.0,12.75,0.83,21.5,0.5
97250,37.0,1.0,16.0,0.82,19.33,0.94
97500,37.0,1.0,16.0,0.71,20.25,0.83
97750,37.0,1.0,15.25,0.43,20.5,0.5
98000,37.0,1.0,14.75,1.09,20.5,0.5
98250,37.33,0.94,17.0,0.0,21.0,0.0
98500,37.0,1.41,16.67,1.25,20.5,0.87
98750,37.5,1.12,17.75,0.43,20.75,1.09
99000,37.75,0.83,17.25,0.83,21.0,0.0
99250,37.0,1.0,17.25,0.83,21.25,0.43
99500,37.25,1.3,11.67,2.05,21.0,0.0
99750,33.25,1.79,16.67,4.03,15.67,1.25
100000,30.5,0.87,19.5,1.12,8.5,3.5
100250,29.5,0.87,18.5,0.5,17.75,0.43
100500,27.5,0.5,20.5,0.5,19.0,0.71
100750,29.0,0.82,21.0,0.0,15.67,1.7
101000,30.0,0.0,21.25,0.43,12.67,0.94
101250,30.0,0.0,19.0,1.22,12.67,1.89
101500,29.0,0.0,18.33,0.47,15.67,0.94
101750,29.75,0.43,18.75,0.83,17.5,0.5
102000,30.0,0.0,19.0,0.71,18.75,0.83
102250,30.0,0.0,18.5,0.5,19.0,0.71
102500,30.0,0.0,18.5,0.87,19.0,1.22
102750,30.0,0.0,18.0,0.0,18.75,0.83
103000,30.0,0.0,18.5,0.5,19.5,1.12
103250,30.0,0.0,20.75,0.43,17.0,1.0
103500,30.0,0.0,19.0,0.71,15.5,0.5
103750,30.0,0.0,18.0,0.0,13.5,0.87
104000,30.0,0.0,18.25,0.43,13.75,1.3
104250,30.0,0.0,18.0,0.0,10.5,1.5
104500,30.0,0.0,18.0,0.0,9.67,0.94
104750,30.0,0.0,18.5,0.5,11.33,0.94
105000,30.0,0.0,18.5,0.87,9.0,0.0
105250,30.0,0.0,18.0,0.0,11.0,1.22
105500,30.0,0.0,18.75,0.43,9.33,2.49
105750,30.0,0.0,17.25,1.92,11.67,2.49
106000,30.0,0.0,16.0,2.16,11.67,0.47
106250,30.6,0.49,13.8,1.17,2.0,0.0
106500,32.0,0.0,18.0,0.82,14.0,2.83
106750,32.5,0.5,17.5,0.5,20.5,1.5
107000,36.0,0.0,17.5,0.87,18.0,1.87
107250,38.0,0.71,14.5,2.18,11.5,0.87
107500,38.25,0.83,12.5,0.87,16.33,3.09
107750,37.25,1.3,8.5,3.77,11.25,4.92
108000,36.25,0.43,7.5,2.69,17.5,1.5
108250,34.5,1.5,8.67,1.7,17.5,0.87
108500,36.0,0.0,8.5,3.04,16.75,1.3
108750,36.5,0.87,6.67,0.94,15.33,1.25
109000,37.25,1.3,11.25,0.83,13.25,0.83
109250,37.33,0.94,5.5,4.56,16.67,1.25
109500,36.33,0.47,12.67,0.94,15.5,0.87
