# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,44.5,0.5,15.0,0.71,9.25,0.43
250,44.75,0.43,13.0,0.71,11.25,0.83
500,41.33,0.94,15.33,0.47,11.0,1.22
750,39.5,0.87,16.75,1.09,10.0,1.58
1000,39.25,0.43,15.75,2.49,15.25,2.17
1250,39.0,0.0,16.75,2.59,15.0,2.12
1500,39.5,0.5,21.25,1.09,15.75,3.27
1750,38.5,0.87,24.0,0.0,22.0,0.71
2000,37.0,1.0,24.0,0.0,21.0,0.0
2250,37.5,0.5,21.25,0.43,18.75,2.49
2500,37.67,1.25,18.5,1.5,7.33,4.11
2750,37.0,1.0,19.75,0.83,9.25,3.9
3000,36.67,0.94,17.0,1.41,11.0,1.63
3250,37.0,1.0,15.33,0.47,13.67,0.94
3500,37.0,1.0,14.67,0.47,12.67,0.47
3750,37.25,0.83,16.0,1.22,10.0,0.71
4000,38.0,1.0,17.75,0.43,6.0,3.08
4250,38.0,1.0,17.25,0.83,6.0,0.0
4500,38.25,0.83,18.0,0.0,5.67,1.7
4750,36.67,0.94,18.0,0.0,7.33,1.25
5000,36.75,0.83,17.6,1.02,11.2,0.75
5250,36.75,0.83,17.0,0.82,11.33,0.47
5500,38.5,0.5,17.6,0.49,7.8,1.6
5750,40.25,1.3,16.5,0.87,6.75,2.28
6000,41.25,1.3,16.25,0.43,9.0,0.71
6250,38.0,1.0,15.5,0.5,4.5,1.5
6500,37.67,1.25,17.25,0.83,2.0,0.0
6750,37.0,1.0,16.25,1.3,4.25,1.79
7000,37.25,0.83,15.25,0.43,5.5,0.5
7250,37.5,1.12,13.5,1.5,3.0,1.87
7500,37.33,0.47,13.33,0.94,5.67,2.05
7750,37.25,0.83,14.5,0.87,7.75,1.09
8000,37.0,1.0,16.25,0.83,6.5,0.5
8250,38.25,0.83,14.0,0.82,8.33,1.7
8500,38.5,0.5,15.0,0.71,5.75,1.3
8750,38.75,0.43,15.75,0.83,6.0,0.0
9000,39.0,0.0,14.5,0.87,9.0,0.0
9250,39.5,0.5,11.5,0.87,9.25,0.43
9500,38.0,1.0,12.0,0.0,9.67,0.47
9750,37.75,0.83,14.75,2.28,8.25,2.38
10000,37.67,1.25,17.75,0.43,5.0,2.83
10250,38.0,1.0,17.5,0.5,2.25,1.09
10500,40.0,1.58,17.0,0.71,8.0,2.35
10750,42.67,0.47,17.67,0.47,10.5,1.12
11000,42.25,0.43,18.0,0.0,11.25,0.83
11250,42.0,0.0,17.75,0.43,10.0,0.71
11500,42.0,0.0,17.5,0.87,11.5,0.5
11750,42.0,0.0,15.75,0.83,11.0,0.71
12000,42.75,0.83,15.25,0.43,11.0,1.87
12250,42.25,0.43,14.25,0.83,12.0,0.0
12500,42.0,0.0,15.0,0.0,7.33,1.89
12750,41.5,0.5,14.0,0.71,3.0,0.0
13000,41.67,0.47,14.25,0.83,11.0,1.63
13250,41.5,0.5,16.25,0.83,9.75,1.79
13500,42.75,0.83,14.67,0.47,9.33,1.25
13750,42.33,0.47,17.67,0.47,10.0,1.22
14000,42.25,0.43,15.75,0.83,7.25,1.09
14250,42.25,0.43,14.25,0.43,7.5,2.18
14500,42.0,0.0,12.5,0.5,8.5,0.87
14750,42.0,0.0,15.0,1.22,8.5,0.87
15000,42.0,0.0,15.5,0.5,7.75,1.09
15250,42.25,0.43,16.0,1.22,9.0,2.55
15500,42.0,0.0,12.67,0.94,10.33,0.94
15750,42.0,0.0,10.67,1.25,11.0,1.41
16000,42.5,0.5,11.25,0.83,11.75,1.79
16250,43.67,0.47,13.75,0.83,10.0,0.82
16500,41.75,0.43,16.25,0.43,9.25,1.09
16750,40.5,0.5,17.25,0.83,7.0,1.0
17000,40.0,0.82,16.67,0.94,8.25,1.48
17250,40.25,0.83,15.5,0.87,9.25,0.43
17500,41.0,0.71,15.5,0.87,9.25,0.43
17750,41.5,0.5,15.25,0.43,9.75,1.09
18000,42.0,0.0,17.5,0.87,7.75,2.28
18250,41.5,0.5,16.25,1.3,4.67,1.7
18500,41.75,0.43,13.0,1.41,10.0,1.63
18750,41.67,0.47,11.25,0.83,9.0,0.82
19000,41.25,0.83,11.5,0.5,8.0,0.0
19250,41.5,0.5,12.0,0.71,7.25,1.3
19500,41.0,0.82,14.67,1.25,8.25,1.3
19750,41.5,0.5,17.25,0.83,7.5,0.87
20000,41.75,0.43,18.0,0.0,11.25,1.3
20250,42.0,0.0,17.0,1.0,9.75,1.3
20500,42.0,0.0,16.25,0.83,10.0,1.0
20750,42.0,0.0,14.75,0.43,9.75,0.83
21000,42.0,0.0,15.0,0.0,10.0,1.0
21250,42.0,0.0,15.0,0.0,11.5,1.12
21500,42.25,0.43,16.67,0.47,12.67,0.94
21750,42.0,0.0,17.6,0.49,12.4,0.8
22000,41.75,0.43,18.0,0.0,12.0,0.82
22250,41.5,0.5,15.75,1.3,12.0,0.71
22500,41.5,0.5,14.5,0.5,9.5,0.87
22750,41.67,0.47,14.0,1.22,9.33,0.47
23000,41.5,0.5,13.25,1.3,11.5,1.8
23250,40.0,0.71,12.0,0.0,12.0,0.0
23500,38.0,1.41,15.67,1.7,10.25,2.49
23750,36.75,0.83,17.5,0.5,4.67,1.7
24000,37.0,1.0,17.0,0.71,10.0,0.0
24250,37.0,1.0,15.25,1.09,5.0,1.63
24500,37.0,1.0,15.0,0.0,4.0,1.0
24750,38.25,0.83,15.25,0.43,6.0,1.41
25000,41.0,1.22,17.25,0.83,9.25,0.43
25250,43.25,0.43,19.0,0.71,12.75,0.83
25500,44.0,0.82,19.5,0.5,13.67,1.25
25750,44.25,0.43,18.25,0.43,14.5,0.5
26000,44.5,0.5,19.25,0.83,12.75,0.83
26250,44.0,0.82,18.67,0.94,11.75,0.43
26500,43.5,0.5,18.25,0.43,8.0,1.58
26750,43.0,0.71,18.0,0.0,5.0,1.58
27000,42.5,0.5,17.75,0.43,7.25,1.09
27250,42.75,0.43,18.75,0.83,6.25,1.64
27500,44.25,0.83,18.0,0.0,11.0,1.41
27750,44.75,0.43,18.25,0.43,12.25,0.43
28000,45.0,0.0,17.5,0.5,11.75,0.43
28250,45.0,0.0,18.0,0.0,11.0,1.22
28500,45.0,0.0,18.0,0.0,11.67,0.47
28750,44.75,0.43,18.33,0.47,12.33,0.47
29000,44.5,0.5,17.25,0.83,8.25,1.48
29250,45.0,0.0,16.0,0.82,7.0,0.0
29500,44.5,0.5,16.25,0.83,7.5,1.5
29750,45.0,0.0,16.5,1.12,8.25,0.43
30000,45.0,0.0,18.0,0.0,9.25,0.83
30250,45.0,0.0,18.0,0.0,10.75,1.79
30500,44.75,0.43,18.0,0.0,12.0,0.0
30750,45.0,0.0,18.75,0.83,10.75,0.83
31000,45.0,0.0,18.0,0.0,10.75,1.3
31250,45.0,0.0,18.5,0.5,12.0,0.0
31500,44.75,0.43,18.0,0.0,11.33,0.47
31750,45.0,0.0,18.0,0.0,10.0,0.71
32000,44.67,0.47,18.0,0.0,8.33,0.43
32250,45.0,0.0,17.75,0.43,10.0,0.82
32500,44.75,0.43,18.0,0.0,7.5,0.87
32750,44.5,0.5,17.5,0.5,8.75,0.83
33000,45.0,0.0,17.33,0.47,6.75,1.3
33250,44.6,0.49,15.6,0.49,6.75,0.83
33500,44.5,0.5,17.0,0.71,6.25,1.09
33750,44.5,0.5,18.0,0.0,4.5,0.5
34000,44.5,0.5,18.0,0.0,7.5,1.8
34250,44.33,0.47,18.33,0.47,9.67,0.94
34500,44.5,0.5,17.0,0.71,9.0,1.22
34750,44.5,0.5,17.75,0.43,10.5,0.5
35000,44.5,0.5,17.75,0.43,9.0,1.0
35250,44.5,0.5,18.5,0.87,9.25,0.83
35500,44.5,0.5,18.5,0.5,10.0,0.71
35750,43.75,0.83,18.5,0.87,8.25,1.3
36000,44.0,0.71,17.67,0.47,8.67,0.47
36250,43.25,0.83,15.5,1.12,8.0,1.0
36500,39.0,2.12,12.0,0.0,7.5,1.66
36750,37.75,1.3,10.25,1.79,13.0,2.83
37000,39.67,0.47,9.0,1.22,17.67,0.47
37250,37.75,1.3,15.0,1.87,13.25,3.03
37500,40.25,1.79,18.0,0.0,8.75,0.43
37750,44.67,0.47,20.0,0.82,9.75,1.64
38000,44.75,0.43,19.5,0.5,9.67,0.47
38250,44.5,0.5,18.75,0.83,8.75,0.43
38500,43.5,0.5,18.25,0.43,8.5,1.12
38750,43.25,0.83,19.25,1.09,8.0,0.71
39000,42.75,0.43,19.5,0.5,7.0,1.22
39250,44.5,0.5,18.25,0.43,7.0,0.71
39500,45.0,0.0,17.0,0.71,9.75,1.79
39750,45.0,0.0,15.0,0.0,11.25,0.43
40000,44.5,0.5,15.0,0.0,10.33,0.94
40250,44.5,0.5,17.0,1.22,10.0,0.71
40500,44.5,0.5,17.75,0.43,12.0,0.0
40750,45.0,0.0,18.0,0.0,10.25,0.83
41000,45.0,0.0,15.5,0.5,11.67,0.47
41250,44.33,0.47,16.0,0.82,12.25,0.43
41500,44.5,0.5,17.0,0.71,11.75,0.43
41750,44.5,0.5,17.75,0.43,11.25,0.83
42000,44.75,0.43,18.0,0.0,11.75,0.43
42250,44.75,0.43,17.75,0.43,10.5,1.12
42500,44.75,0.43,17.25,0.83,8.75,1.48
42750,45.0,0.0,15.0,0.0,10.5,0.5
43000,44.4,0.49,15.0,0.0,10.0,1.1
43250,44.5,0.5,15.75,0.83,7.0,0.0
43500,44.25,0.83,16.67,0.94,6.67,2.62
43750,44.25,0.43,15.0,0.0,10.25,1.09
44000,44.33,0.47,16.25,1.3,12.0,0.82
44250,44.25,0.43,17.75,0.43,11.75,0.43
44500,45.0,0.0,18.25,0.43,11.75,0.83
44750,44.67,0.47,18.0,0.0,12.75,0.83
45000,44.75,0.43,15.75,0.83,13.75,1.48
45250,45.0,0.0,12.75,1.3,13.0,2.24
45500,45.0,0.0,8.5,2.87,9.75,1.48
45750,44.75,0.43,9.25,1.09,8.0,1.87
46000,43.75,1.09,8.25,1.3,11.5,1.5
46250,42.75,0.43,12.5,1.12,11.0,0.0
46500,43.75,0.43,15.0,0.0,8.67,1.25
46750,44.5,0.5,15.33,0.47,6.0,0.82
47000,45.0,0.0,17.25,0.43,10.5,0.5
47250,45.0,0.0,17.75,0.43,10.75,1.09
47500,45.0,0.0,17.33,0.47,11.5,0.5
47750,44.5,0.5,16.75,0.83,10.25,0.43
48000,44.5,0.5,15.75,0.83,9.75,0.43
48250,44.5,0.5,17.25,1.3,10.75,1.09
48500,44.5,0.5,17.5,0.5,10.5,0.87
48750,44.5,0.5,16.75,0.43,8.25,1.3
49000,44.5,0.5,16.25,0.83,7.0,1.41
49250,44.75,0.43,15.0,0.0,6.33,0.47
49500,44.5,0.5,15.0,0.0,7.4,1.02
49750,44.75,0.43,15.0,0.0,7.33,1.7
50000,44.67,0.47,15.0,0.0,6.67,1.89
50250,44.67,0.47,15.5,0.87,7.5,0.5
50500,44.33,0.47,17.33,0.47,7.25,1.64
50750,44.5,0.5,18.0,0.0,9.0,0.71
51000,44.5,0.5,18.0,0.0,10.0,0.71
51250,44.75,0.43,16.0,1.0,9.25,0.43
51500,44.75,0.43,15.33,0.47,10.33,1.25
51750,44.5,0.5,15.5,0.5,9.0,1.22
52000,44.5,0.5,15.25,0.43,9.5,1.5
52250,44.33,0.47,16.0,0.0,11.0,0.82
52500,44.5,0.5,15.2,0.4,7.5,2.69
52750,44.5,0.5,14.67,0.47,6.67,0.94
53000,44.5,0.5,14.25,0.83,6.75,1.09
53250,44.67,0.47,15.25,0.43,8.67,1.25
53500,44.5,0.5,15.0,0.0,8.5,0.87
53750,44.33,0.47,15.0,0.0,7.0,0.0
54000,44.5,0.5,14.75,0.43,4.33,2.62
54250,44.75,0.43,16.25,0.83,5.0,2.16
54500,44.5,0.5,16.5,0.87,9.0,2.35
54750,45.0,0.0,17.25,0.83,8.25,1.48
55000,45.0,0.0,16.75,1.3,8.0,1.58
55250,45.0,0.0,16.75,1.3,8.25,1.92
55500,45.0,0.0,16.25,0.43,10.75,1.92
55750,43.75,1.09,15.25,1.09,12.25,0.43
56000,41.75,0.43,12.0,0.0,9.67,1.25
56250,40.33,1.25,12.0,0.0,10.0,0.82
56500,39.0,0.0,10.67,1.25,9.0,2.35
56750,39.33,0.47,14.67,0.47,7.0,1.22
57000,39.75,0.83,17.25,0.83,9.75,1.3
57250,39.75,0.83,17.75,0.43,8.0,1.22
57500,39.25,0.43,17.75,0.43,11.25,1.3
57750,39.0,0.0,17.75,1.09,8.5,3.91
58000,39.0,0.0,16.25,1.09,4.75,1.79
58250,39.5,0.5,15.5,1.12,4.5,3.57
58500,41.25,0.43,17.25,0.83,6.0,2.83
58750,41.75,0.43,16.0,1.41,10.0,0.0
59000,42.0,0.0,16.75,1.3,6.0,1.0
59250,41.75,0.43,20.0,1.0,8.67,1.25
59500,41.5,0.5,18.5,0.87,6.75,2.28
59750,41.0,0.82,16.67,0.47,3.0,1.22
