# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
60000,45.0,0.0,18.0,0.0,17.0,0.0
60250,45.0,0.0,18.0,0.0,17.25,0.83
60500,45.0,0.0,18.25,0.43,15.0,0.0
60750,45.25,0.43,18.0,0.0,14.5,1.12
61000,45.25,0.43,19.25,0.83,12.0,1.87
61250,45.5,0.5,19.75,0.43,10.0,1.22
61500,46.0,0.71,19.25,0.43,11.75,0.43
61750,45.75,0.83,19.0,0.0,12.67,0.94
62000,45.67,0.47,19.75,0.43,12.67,0.94
62250,45.8,0.4,19.75,0.43,12.2,0.4
62500,46.0,0.82,20.0,0.0,12.33,0.94
62750,46.0,0.0,19.75,0.43,12.25,1.48
63000,46.25,0.43,18.5,0.5,13.0,1.22
63250,46.0,0.0,18.67,0.47,12.67,0.47
63500,46.25,0.43,18.25,0.43,13.25,1.3
63750,45.75,0.83,18.0,0.0,14.0,0.71
64000,45.5,0.5,18.0,0.0,14.0,1.22
64250,45.5,0.5,18.0,0.0,13.75,0.83
64500,45.5,0.5,18.0,0.0,13.75,0.43
64750,45.5,0.5,18.0,0.0,13.0,1.41
65000,45.5,0.5,18.0,0.0,13.0,0.0
65250,45.75,0.43,18.0,0.0,13.0,1.41
65500,46.0,0.82,18.0,0.0,13.67,1.25
65750,45.75,0.83,18.25,0.43,13.5,1.5
66000,45.75,0.83,18.0,0.0,12.67,0.94
66250,45.33,0.47,18.33,0.47,14.25,1.3
66500,45.75,0.43,18.25,0.43,15.0,0.71
66750,45.75,0.43,18.0,0.0,14.75,0.43
67000,46.0,1.0,18.0,0.0,15.0,0.71
67250,46.0,0.71,18.25,0.43,14.5,0.87
67500,46.5,0.5,18.0,0.0,15.0,0.0
67750,46.25,0.43,18.0,0.0,15.0,0.0
68000,45.75,0.83,18.0,0.0,15.75,0.83
68250,45.75,0.83,18.0,0.0,15.33,0.47
68500,45.75,0.83,18.0,0.0,15.67,0.94
68750,45.75,0.83,18.0,0.0,15.0,0.71
69000,46.25,0.43,18.0,0.0,14.75,0.83
69250,46.5,0.5,18.25,0.43,15.25,1.09
69500,46.67,0.47,18.25,0.43,14.33,0.94
69750,45.67,0.47,17.5,1.5,14.67,1.25
70000,46.33,0.47,9.0,0.0,14.75,0.43
70250,46.0,0.0,15.5,2.29,9.0,4.24
70500,46.25,0.83,15.5,2.29,10.75,2.17
70750,40.5,3.35,9.75,1.48,11.0,4.18
71000,43.75,2.95,12.0,0.0,12.0,1.22
71250,47.25,0.83,5.0,4.0,15.5,1.5
71500,47.5,0.5,13.0,3.74,14.33,1.7
71750,47.0,0.71,16.75,0.43,5.33,2.87
72000,47.0,0.0,14.5,0.5,12.0,0.0
72250,47.75,0.43,12.67,0.47,12.0,0.0
72500,48.0,0.0,12.25,0.43,12.67,0.47
72750,48.0,0.0,12.25,0.43,13.25,0.83
73000,48.0,0.0,12.33,0.47,13.25,1.3
73250,48.0,0.0,12.25,0.43,12.0,0.0
73500,48.0,0.0,13.0,0.71,12.0,0.0
73750,48.0,0.0,13.25,0.83,12.25,0.43
74000,48.0,0.0,12.25,0.43,12.75,0.83
74250,48.0,0.0,12.0,0.0,13.0,1.0
74500,48.0,0.0,11.75,0.43,13.25,0.83
74750,48.0,0.0,12.0,0.0,14.0,0.82
75000,48.0,0.0,11.67,0.47,14.33,0.47
75250,48.0,0.0,11.0,0.71,14.33,0.94
75500,48.0,0.0,11.0,0.71,14.0,1.22
