# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
60000,37.25,7.15,18.5,3.35,18.75,2.49
60250,50.75,1.79,16.25,1.09,17.0,4.53
60500,51.25,2.17,17.25,5.26,14.75,3.11
60750,43.25,1.3,17.25,3.11,14.0,4.58
61000,34.5,5.41,14.5,3.04,9.75,3.9
61250,22.75,4.76,14.5,2.5,12.75,3.9
61500,37.75,6.5,13.67,1.25,17.5,4.61
61750,37.75,6.5,13.67,1.25,17.5,4.61
62000,35.42,7.96,14.88,2.57,17.0,4.37
62250,35.42,7.96,14.88,2.57,17.0,4.37
62500,28.75,2.68,17.25,4.15,18.5,2.18
62750,38.75,4.26,15.75,2.59,16.5,2.96
63000,38.67,0.47,17.5,4.27,8.0,4.97
63250,35.0,6.6,13.0,2.45,15.5,2.5
63500,37.25,7.85,14.0,4.24,14.5,5.12
63750,31.67,3.68,14.5,0.5,18.5,2.18
64000,28.0,5.48,16.0,2.35,19.5,1.66
64250,40.0,3.67,16.0,5.05,13.75,7.01
64500,33.0,1.87,18.5,2.69,16.75,1.64
64750,39.25,5.58,12.75,5.63,15.25,4.92
65000,32.5,8.41,14.5,2.18,20.75,0.43
65250,26.25,2.86,13.25,2.95,19.0,4.06
65500,35.25,3.9,14.25,2.49,20.75,1.64
65750,38.25,5.36,19.0,2.12,15.75,4.97
66000,31.75,3.03,12.75,5.76,22.5,2.06
66250,36.5,5.36,9.5,5.32,14.75,2.38
66500,28.25,7.08,14.0,1.41,22.33,1.7
66750,25.75,2.77,14.4,3.98,15.2,4.02
67000,38.0,1.58,11.5,5.72,13.25,1.3
67250,32.25,4.44,13.5,3.5,9.5,2.5
67500,33.5,10.33,19.75,1.09,13.0,6.52
67750,41.0,3.74,16.25,1.09,10.67,6.18
68000,25.0,3.67,10.67,4.19,13.5,3.2
68250,34.33,2.36,14.0,5.79,17.0,4.08
68500,38.67,3.77,14.0,5.24,7.0,5.89
68750,22.0,4.9,19.25,3.49,10.0,1.41
69000,29.0,5.1,13.67,1.89,11.67,3.4
69250,32.0,4.32,13.5,4.39,18.67,2.62
69500,27.0,4.24,14.67,4.71,20.0,2.35
69750,35.33,5.73,12.67,6.85,20.0,2.35
70000,39.25,4.49,18.5,1.5,16.25,3.49
70250,35.75,3.27,16.5,3.64,19.5,2.6
70500,38.5,3.35,14.75,6.46,16.75,5.45
70750,27.25,3.49,13.25,3.27,19.25,4.21
71000,23.5,4.03,15.75,3.34,18.25,6.02
