# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,33.5,2.87,16.25,3.42,14.0,5.0
250,27.75,1.3,16.0,2.92,13.75,3.49
500,32.25,5.76,14.25,4.32,20.5,2.87
750,34.5,1.5,15.0,0.0,13.0,10.0
1000,34.25,3.49,12.67,5.25,15.25,3.27
1250,35.25,5.76,14.75,1.79,17.75,3.42
1500,24.0,2.45,9.5,3.5,21.33,4.5
1750,33.67,5.56,15.75,1.3,18.67,0.94
2000,37.5,4.5,16.75,6.38,14.0,7.55
2250,30.0,0.0,18.25,2.17,15.67,2.62
2500,33.33,8.81,14.33,4.11,17.75,5.49
2750,36.25,6.38,16.25,1.79,13.75,4.71
3000,31.25,3.42,16.0,2.45,18.75,0.83
3250,38.0,5.15,15.0,2.12,19.5,3.2
3500,34.5,5.59,21.0,1.87,20.25,2.28
3750,31.25,3.7,16.75,3.03,18.5,0.5
4000,35.75,3.9,9.5,4.39,19.0,2.92
4250,29.0,3.0,15.25,2.28,18.5,2.87
4500,28.75,4.32,21.0,0.0,15.0,3.56
4750,41.5,2.6,15.33,1.7,15.25,3.9
5000,36.5,0.5,15.5,2.29,20.25,2.59
5250,39.0,4.24,11.25,2.28,15.75,4.44
5500,38.0,7.48,11.5,3.5,21.33,1.89
5750,31.5,4.56,18.5,1.5,20.5,3.35
6000,40.67,1.25,18.0,2.45,19.5,4.92
6250,38.0,5.1,16.67,4.78,20.75,2.17
6500,30.6,4.8,17.4,4.45,12.25,7.46
6750,36.0,4.24,18.25,2.17,17.33,3.86
7000,43.33,5.25,10.33,1.25,16.0,3.08
7250,31.33,2.36,14.0,1.41,14.0,4.95
7500,31.25,3.7,15.25,2.17,9.75,3.03
7750,37.5,4.5,18.5,2.6,17.33,8.73
8000,31.0,4.12,12.25,4.76,12.0,2.94
8250,40.75,3.03,11.33,2.62,14.5,2.29
8500,29.5,2.87,15.25,4.44,17.5,5.12
8750,27.0,8.06,19.75,1.3,11.75,1.79
9000,41.0,3.67,15.75,1.92,12.5,0.5
9250,34.75,2.95,16.75,5.07,14.0,2.12
9500,37.5,5.59,19.5,0.5,15.25,1.79
9750,33.25,8.2,18.67,0.94,22.33,2.36
10000,25.0,3.56,13.0,2.16,20.5,3.57
10250,32.67,4.71,12.67,1.25,19.0,0.82
10500,40.5,4.56,15.0,6.6,16.33,2.49
10750,35.5,2.18,13.25,6.22,7.0,4.3
11000,38.67,2.05,17.33,1.7,15.25,1.92
11250,31.75,7.26,15.25,2.86,17.0,2.45
11500,26.0,5.7,16.0,1.73,12.25,2.17
11750,34.75,3.7,16.0,4.18,12.67,0.47
12000,33.0,3.67,15.0,2.83,15.0,3.74
12250,35.5,2.29,14.5,4.33,19.5,4.39
12500,34.75,5.72,11.75,1.92,19.5,2.6
12750,29.25,5.36,12.5,5.22,18.0,2.83
13000,30.75,8.84,14.0,3.74,17.67,2.62
13250,43.0,4.0,16.75,4.26,18.33,4.5
13500,35.5,2.87,14.5,1.5,16.0,4.06
13750,34.25,5.4,14.25,1.3,13.25,4.87
14000,34.0,5.1,13.33,1.89,14.0,8.77
14250,24.5,6.87,13.25,4.97,21.0,2.12
14500,31.25,9.81,19.0,6.44,14.0,7.65
14750,37.5,4.5,13.75,4.82,12.5,2.87
15000,36.5,2.5,19.5,1.5,14.75,3.27
15250,34.25,5.21,15.5,5.12,13.33,1.25
15500,33.25,3.49,15.75,2.49,15.0,3.08
15750,30.75,2.86,10.0,5.48,16.5,1.5
16000,34.5,7.4,19.0,5.34,13.0,1.22
16250,37.0,1.0,15.25,5.26,15.5,4.15
16500,38.75,3.49,17.0,3.24,12.25,4.02
16750,36.25,5.36,12.33,1.25,17.0,1.63
17000,26.0,6.78,17.5,2.29,18.75,2.86
17250,34.67,5.79,15.0,0.0,14.33,2.05
17500,35.25,1.3,14.0,1.41,16.75,4.55
17750,36.25,2.17,13.25,4.26,20.0,1.73
18000,39.5,7.02,9.5,2.5,15.5,3.57
18250,32.25,2.49,10.75,5.17,20.0,2.45
18500,33.75,2.28,14.75,7.15,20.75,0.43
18750,41.33,1.7,18.0,1.63,12.25,3.77
19000,38.0,2.92,16.5,4.72,9.75,7.19
19250,35.5,8.17,14.0,6.0,13.0,6.36
19500,38.25,8.17,21.0,2.12,16.25,1.64
19750,27.75,5.54,17.5,3.57,17.75,4.15
20000,30.25,7.36,12.75,4.44,16.5,2.96
20250,39.0,2.12,13.75,3.96,14.67,3.09
20500,38.25,1.48,14.25,5.36,14.75,2.17
20750,38.75,6.02,14.0,6.28,14.5,4.56
21000,34.5,6.87,18.75,2.49,17.75,2.28
21250,23.25,5.4,19.25,2.28,13.0,1.63
21500,32.25,7.76,15.0,2.12,12.25,6.76
21750,35.25,1.3,11.25,6.06,13.75,6.1
22000,35.25,3.9,20.0,1.41,14.67,2.36
22250,36.25,5.36,17.5,1.12,15.75,4.49
22500,30.67,1.7,15.5,3.2,15.0,2.45
22750,29.75,8.1,11.5,6.06,14.25,1.3
23000,41.0,4.53,13.5,3.2,11.0,3.54
23250,32.33,3.3,17.0,2.16,17.5,3.35
23500,40.0,1.41,14.67,1.25,13.5,2.06
23750,30.25,9.76,9.5,4.82,17.25,1.92
24000,27.5,1.5,18.5,2.29,14.5,4.27
24250,37.0,5.05,17.0,3.67,11.75,6.72
24500,34.5,6.18,22.67,0.94,14.75,3.9
24750,34.25,3.49,18.75,2.86,12.75,5.12
25000,38.75,7.95,20.5,2.29,18.75,5.36
25250,31.75,3.27,14.5,3.57,20.5,3.91
25500,27.0,6.96,16.0,5.89,15.0,2.94
25750,40.75,3.03,18.25,2.95,20.5,2.6
26000,34.67,3.09,21.75,3.96,19.33,1.25
26250,37.0,4.86,18.0,3.67,16.0,3.41
26500,39.0,6.53,17.25,0.83,18.67,1.7
26750,24.75,5.8,17.0,3.24,21.5,3.04
27000,39.5,2.29,14.33,2.49,21.25,2.17
27250,37.5,5.72,18.0,2.94,17.75,3.9
